Release,Journey ID,Phase,Tier,Priority,Manual test,Exact manual steps,Expected result,Automated test exists,Strict automation status,Automation layer,Automated test evidence,What automation proves,What remains manual,Regression confidence,Confidence rationale,Manual result,Tester,Run date,Evidence path or URL,Defect link,Release notes
0.0.40,1,0 Package and install,Core,P0,Final production DMG installs in locked Core state,"Mount the final production DMG, drag Off Grid AI Desktop to Applications, eject the DMG, then open the installed app without entitlement",The app opens without a crash or white screen; Core works and every Pro service and screen remains locked,No,OPEN,None complete,,Final production artifact installs cleanly and remains locked when unentitled. - Local 0.0.40 ad-hoc app: installed-copy launch and forged-license harness passed. - Left: repeat against the Developer ID-signed and notarized release artifact.,"Run the complete Final production DMG installs in locked Core state journey against the exact Developer ID-signed, notarized, stapled 0.0.40 artifact.",LOW,The final signed/notarized production-artifact journey is not covered end to end.,NOT RUN,,,,,"Use the one production Pro-capable artifact, not npm run dev or a local diagnostic variant"
0.0.40,2,0 Package and install,Both,P0,Final production DMG activates entitled Pro state,"Install the same final production DMG, activate with a valid test entitlement, restart when requested, then reopen",The same installed app activates Pro services and screens only after entitlement and remains usable after relaunch,No,OPEN,None complete,,The same final production artifact activates Pro with a valid entitlement. - Local 0.0.40 Pro-capable app: packaged UI and locked-state gates passed; valid-license activation is part of the immediate manual pass. - Left: repeat the valid-license journey against the signed/notarized release artifact.,"Run the complete Final production DMG activates entitled Pro state journey against the exact Developer ID-signed, notarized, stapled 0.0.40 artifact.",LOW,The final signed/notarized production-artifact journey is not covered end to end.,NOT RUN,,,,,Use the same production artifact as #1; local Core and Pro DMGs are diagnostic variants only
0.0.40,3,0 Package and install,Both,P0,Fresh profile is truly fresh,Move ~/Library/Application Support/Off Grid AI Desktop aside before first launch,Onboarding appears with no chats models captures or credentials from another run,Yes,PARTIAL,E2E,e2e/smoke.spec.ts,Fresh profile is truly fresh. `e2e/smoke.spec.ts` launches the built Electron app with a new temp `OFFGRID_USER_DATA` directory and verifies first-run onboarding and the preload bridge.,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Use a disposable profile; never delete a real profile without a backup
0.0.40,4,0 Package and install,Both,P0,Core and Pro source and activation separation,"Inspect the Core source artifact, then run the one production app first locked and then entitled",Core contains no Pro implementation; the production app exposes no Pro implementation before entitlement and activates it only after entitlement,Yes,PARTIAL,Integration + Contract/package gate,release-packaging.integration.test.ts,Core and Pro artifact separation. `release-packaging.integration.test.ts` builds both resolved source graphs with sourcemaps and proves Core contains no `pro/` implementation while retaining the locked shell and entitlement gates; Pro excludes the stub and includes both real activation entry points.,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Release blocker for open-core packaging; do not describe local diagnostic variants as separate production artifacts
0.0.40,5,0 Package and install,Both,P0,Packaged helper binaries exist,Open System Health after installing the DMG,"llama-server, ffmpeg, whisper helpers, and required dylibs are present; no missing-binary error",Yes,PARTIAL,Integration + Contract/package gate,packaged-helpers.integration.test.ts; probe-packaged-helpers.mjs,"Packaged helper binaries exist. `packaged-helpers.integration.test.ts` runs real `electron-vite` and `electron-builder` with the production packaging config, then proves the artifact contains hydrated executable llama, ffmpeg, and Whisper helpers at the runtime-resolved paths plus every staged dylib as an exact-name regular file. `probe-packaged-helpers.mjs` now runs llama-server, ffmpeg, Whisper, and both image helpers from the copied DMG app and rejects missing dependencies. The installed System Health UI is not yet reconciled with that same execution.",The installed System Health UI is not yet reconciled with that same execution.,LOW,"Useful automation exists, but it does not prove the decisive installed, native, hardware, network, or external-system boundary.",NOT RUN,,,,,Check Console.app if a component is down
0.0.40,6,0 Package and install,Both,P0,Packaged llama dependency closure,Start the chat model from the packaged app,The bundled llama-server launches without dyld or foreign Homebrew dependency errors,Yes,PARTIAL,Integration + Contract/package gate,release-packaging.integration.test.ts; scripts/build-llama.sh,"Packaged llama dependency closure. `release-packaging.integration.test.ts` invokes the exact repository `scripts/build-llama.sh` against a disposable CI-shaped output and proves transitive `@rpath` closure, non-symlink staging, exact deployment-target comparison, and rejection of both `/opt/homebrew` and `/usr/local` dependencies.","Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",LOW,"Useful automation exists, but it does not prove the decisive installed, native, hardware, network, or external-system boundary.",NOT RUN,,,,,Release blocker; CI-built engine path only
0.0.40,7,0 Package and install,Both,P0,Upgrade preserves user data,Install the previous release; create data and settings; install this build over it,Chats models projects settings and entitlement remain intact,Yes,PARTIAL,Integration,upgrade-profile.dbtest.ts,"Upgrade preserves user data. Pro `upgrade-profile.dbtest.ts` loads a fixture pinned to the previous release's Core and Pro schemas, runs current migrations and owners, then relaunches and proves chats, memory, projects, knowledge, settings, Pro data, entitlement, and model selections remain intact. Signed installer replacement remains a separate device check.",Signed installer replacement remains a separate device check.,LOW,"Useful automation exists, but it does not prove the decisive installed, native, hardware, network, or external-system boundary.",NOT RUN,,,,,Run as a separate pass from fresh install
0.0.40,8,0 Package and install,Both,P1,Window identity and product name,Inspect the app name menu title About surface and installed application,Every visible name is Off Grid AI Desktop,Yes,COMPLETE,E2E + Contract/package gate,product-identity.test.ts; e2e/tour.spec.ts,"Window identity and product name. `product-identity.test.ts` locks package, builder, local Core/Pro build, renderer document, and runtime bootstrap names to `Off Grid AI Desktop`; `e2e/tour.spec.ts` launches the built Electron app and verifies both its visible window title and Electron runtime name match that canonical product identity.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",HIGH,The strict ledger confirms the decisive production collaborators run through the real application seam.,NOT RUN,,,,,No legacy product names
0.0.40,9,1 Onboarding and health,Both,P0,Fresh onboarding completes,Follow onboarding from the first screen through setup,The app lands in the desktop shell with no stuck or blank step,Yes,COMPLETE,E2E,e2e/smoke.spec.ts,Fresh onboarding completes. `e2e/smoke.spec.ts` drives the real onboarding flow and lands on Models.,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",HIGH,The strict ledger confirms the decisive production collaborators run through the real application seam.,NOT RUN,,,,,Run on a fresh profile
0.0.40,10,1 Onboarding and health,Both,P0,Configure for me completes,Choose the automatic setup path and let it finish,Recommended models download and active choices are populated,Yes,PARTIAL,Integration + Contract/package gate,model-server-chat.integration.test.ts,"Configure for me completes. `model-server-chat.integration.test.ts` runs production auto-configuration against a temp profile, real catalog/model manager and filesystem, proving the conservative chat, transcription and voice baseline downloads, activates, and reaches the terminal done state through only download/native-process boundaries.","Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",MEDIUM,"Useful real integration exists, but at least one rendered, persistence, runtime, or full-journey seam is still substituted or separate.",NOT RUN,,,,,Allow enough disk space and network access
